ClockPeriod,InputDelay,OutputDelay,Area,Power,Time
1000,0.1,0.1,459,2663.924,1000000
1000,0.1,0.2,459,2663.924,1000000
1000,0.1,0.3,459,2663.924,1000000
1000,0.1,0.4,459,2663.924,1000000
1000,0.1,0.5,459,2663.924,1000000
1000,0.1,0.6,459,2663.924,1000000
1000,0.1,0.7,459,2663.924,1000000
1000,0.1,0.8,459,2663.924,1000000
1000,0.1,0.9,459,2663.924,1000000
1000,0.1,1,459,2663.924,1000000
1000,0.2,0.1,459,2663.924,1000000
1000,0.2,0.2,459,2663.924,1000000
1000,0.2,0.3,459,2663.924,1000000
1000,0.2,0.4,459,2663.924,1000000
1000,0.2,0.5,459,2663.924,1000000
1000,0.2,0.6,459,2663.924,1000000
1000,0.2,0.7,459,2663.924,1000000
1000,0.2,0.8,459,2663.924,1000000
1000,0.2,0.9,459,2663.924,1000000
1000,0.2,1,459,2663.924,1000000
1000,0.3,0.1,459,2663.924,1000000
1000,0.3,0.2,459,2663.924,1000000
1000,0.3,0.3,459,2663.924,1000000
1000,0.3,0.4,459,2663.924,1000000
1000,0.3,0.5,459,2663.924,1000000
1000,0.3,0.6,459,2663.924,1000000
1000,0.3,0.7,459,2663.924,1000000
1000,0.3,0.8,459,2663.924,1000000
1000,0.3,0.9,459,2663.924,1000000
1000,0.3,1,459,2663.924,1000000
1000,0.4,0.1,459,2663.924,1000000
1000,0.4,0.2,459,2663.924,1000000
1000,0.4,0.3,459,2663.924,1000000
1000,0.4,0.4,459,2663.924,1000000
1000,0.4,0.5,459,2663.924,1000000
1000,0.4,0.6,459,2663.924,1000000
1000,0.4,0.7,459,2663.924,1000000
1000,0.4,0.8,459,2663.924,1000000
1000,0.4,0.9,459,2663.924,1000000
1000,0.4,1,459,2663.924,1000000
1000,0.5,0.1,459,2663.924,1000000
1000,0.5,0.2,459,2663.924,1000000
1000,0.5,0.3,459,2663.924,1000000
1000,0.5,0.4,459,2663.924,1000000
1000,0.5,0.5,459,2663.924,1000000
1000,0.5,0.6,459,2663.924,1000000
1000,0.5,0.7,459,2663.924,1000000
1000,0.5,0.8,459,2663.924,1000000
1000,0.5,0.9,459,2663.924,1000000
1000,0.5,1,459,2663.924,1000000
1000,0.6,0.1,459,2663.924,1000000
1000,0.6,0.2,459,2663.924,1000000
1000,0.6,0.3,459,2663.924,1000000
1000,0.6,0.4,459,2663.924,1000000
1000,0.6,0.5,459,2663.924,1000000
1000,0.6,0.6,459,2663.924,1000000
1000,0.6,0.7,459,2663.924,1000000
1000,0.6,0.8,459,2663.924,1000000
1000,0.6,0.9,459,2663.924,1000000
1000,0.6,1,459,2663.924,1000000
1000,0.7,0.1,459,2663.924,1000000
1000,0.7,0.2,459,2663.924,1000000
1000,0.7,0.3,459,2663.924,1000000
1000,0.7,0.4,459,2663.924,1000000
1000,0.7,0.5,459,2663.924,1000000
1000,0.7,0.6,459,2663.924,1000000
1000,0.7,0.7,459,2663.924,1000000
1000,0.7,0.8,459,2663.924,1000000
1000,0.7,0.9,459,2663.924,1000000
1000,0.7,1,459,2663.924,1000000
1000,0.8,0.1,459,2663.924,1000000
1000,0.8,0.2,459,2663.924,1000000
1000,0.8,0.3,459,2663.924,1000000
1000,0.8,0.4,459,2663.924,1000000
1000,0.8,0.5,459,2663.924,1000000
1000,0.8,0.6,459,2663.924,1000000
1000,0.8,0.7,459,2663.924,1000000
1000,0.8,0.8,459,2663.924,1000000
1000,0.8,0.9,459,2663.924,1000000
1000,0.8,1,459,2663.924,1000000
1000,0.9,0.1,459,2663.924,1000000
1000,0.9,0.2,459,2663.924,1000000
1000,0.9,0.3,459,2663.924,1000000
1000,0.9,0.4,459,2663.924,1000000
1000,0.9,0.5,459,2663.924,1000000
1000,0.9,0.6,459,2663.924,1000000
1000,0.9,0.7,459,2663.924,1000000
1000,0.9,0.8,459,2663.924,1000000
1000,0.9,0.9,459,2663.924,1000000
1000,0.9,1,459,2663.924,1000000
1000,1,0.1,459,2663.924,1000000
1000,1,0.2,459,2663.924,1000000
1000,1,0.3,459,2663.924,1000000
1000,1,0.4,459,2663.924,1000000
1000,1,0.5,459,2663.924,1000000
1000,1,0.6,459,2663.924,1000000
1000,1,0.7,459,2663.924,1000000
1000,1,0.8,459,2663.924,1000000
1000,1,0.9,459,2663.924,1000000
1000,1,1,459,2663.924,1000000
100,0.1,0.1,459,3771.883,100000
100,0.1,0.2,459,3771.883,100000
100,0.1,0.3,459,3771.883,100000
100,0.1,0.4,459,3771.883,100000
100,0.1,0.5,459,3771.883,100000
100,0.1,0.6,459,3771.883,100000
100,0.1,0.7,459,3771.883,100000
100,0.1,0.8,459,3771.883,100000
100,0.1,0.9,459,3771.883,100000
100,0.1,1,459,3771.883,100000
100,0.2,0.1,459,3771.883,100000
100,0.2,0.2,459,3771.883,100000
100,0.2,0.3,459,3771.883,100000
100,0.2,0.4,459,3771.883,100000
100,0.2,0.5,459,3771.883,100000
100,0.2,0.6,459,3771.883,100000
100,0.2,0.7,459,3771.883,100000
100,0.2,0.8,459,3771.883,100000
100,0.2,0.9,459,3771.883,100000
100,0.2,1,459,3771.883,100000
100,0.3,0.1,459,3771.883,100000
100,0.3,0.2,459,3771.883,100000
100,0.3,0.3,459,3771.883,100000
100,0.3,0.4,459,3771.883,100000
100,0.3,0.5,459,3771.883,100000
100,0.3,0.6,459,3771.883,100000
100,0.3,0.7,459,3771.883,100000
100,0.3,0.8,459,3771.883,100000
100,0.3,0.9,459,3771.883,100000
100,0.3,1,459,3771.883,100000
100,0.4,0.1,459,3771.883,100000
100,0.4,0.2,459,3771.883,100000
100,0.4,0.3,459,3771.883,100000
100,0.4,0.4,459,3771.883,100000
100,0.4,0.5,459,3771.883,100000
100,0.4,0.6,459,3771.883,100000
100,0.4,0.7,459,3771.883,100000
100,0.4,0.8,459,3771.883,100000
100,0.4,0.9,459,3771.883,100000
100,0.4,1,459,3771.883,100000
100,0.5,0.1,459,3771.883,100000
100,0.5,0.2,459,3771.883,100000
100,0.5,0.3,459,3771.883,100000
100,0.5,0.4,459,3771.883,100000
100,0.5,0.5,459,3771.883,100000
100,0.5,0.6,459,3771.883,100000
100,0.5,0.7,459,3771.883,100000
100,0.5,0.8,459,3771.883,100000
100,0.5,0.9,459,3771.883,100000
100,0.5,1,459,3771.883,100000
100,0.6,0.1,459,3771.883,100000
100,0.6,0.2,459,3771.883,100000
100,0.6,0.3,459,3771.883,100000
100,0.6,0.4,459,3771.883,100000
100,0.6,0.5,459,3771.883,100000
100,0.6,0.6,459,3771.883,100000
100,0.6,0.7,459,3771.883,100000
100,0.6,0.8,459,3771.883,100000
100,0.6,0.9,459,3771.883,100000
100,0.6,1,459,3771.883,100000
100,0.7,0.1,459,3771.883,100000
100,0.7,0.2,459,3771.883,100000
100,0.7,0.3,459,3771.883,100000
100,0.7,0.4,459,3771.883,100000
100,0.7,0.5,459,3771.883,100000
100,0.7,0.6,459,3771.883,100000
100,0.7,0.7,459,3771.883,100000
100,0.7,0.8,459,3771.883,100000
100,0.7,0.9,459,3771.883,100000
100,0.7,1,459,3771.883,100000
100,0.8,0.1,459,3771.883,100000
100,0.8,0.2,459,3771.883,100000
100,0.8,0.3,459,3771.883,100000
100,0.8,0.4,459,3771.883,100000
100,0.8,0.5,459,3771.883,100000
100,0.8,0.6,459,3771.883,100000
100,0.8,0.7,459,3771.883,100000
100,0.8,0.8,459,3771.883,100000
100,0.8,0.9,459,3771.883,100000
100,0.8,1,459,3771.883,100000
100,0.9,0.1,459,3771.883,100000
100,0.9,0.2,459,3771.883,100000
100,0.9,0.3,459,3771.883,100000
100,0.9,0.4,459,3771.883,100000
100,0.9,0.5,459,3771.883,100000
100,0.9,0.6,459,3771.883,100000
100,0.9,0.7,459,3771.883,100000
100,0.9,0.8,459,3771.883,100000
100,0.9,0.9,459,3771.883,100000
100,0.9,1,459,3771.883,100000
100,1,0.1,459,3771.883,100000
100,1,0.2,459,3771.883,100000
100,1,0.3,459,3771.883,100000
100,1,0.4,459,3771.883,100000
100,1,0.5,459,3771.883,100000
100,1,0.6,459,3771.883,100000
100,1,0.7,459,3771.883,100000
100,1,0.8,459,3771.883,100000
100,1,0.9,459,3771.883,100000
100,1,1,459,3771.883,100000
10,0.1,0.1,459,10691.25,10000
10,0.1,0.2,459,10691.25,10000
10,0.1,0.3,459,10691.25,10000
10,0.1,0.4,459,10691.25,10000
10,0.1,0.5,459,10691.25,10000
10,0.1,0.6,459,10691.25,10000
10,0.1,0.7,459,10691.25,10000
10,0.1,0.8,459,10691.25,10000
10,0.1,0.9,459,10691.25,10000
10,0.1,1,459,10691.25,10000
10,0.2,0.1,459,10691.25,10000
10,0.2,0.2,459,10691.25,10000
10,0.2,0.3,459,10691.25,10000
10,0.2,0.4,459,10691.25,10000
10,0.2,0.5,459,10691.25,10000
10,0.2,0.6,459,10691.25,10000
10,0.2,0.7,459,10691.25,10000
10,0.2,0.8,459,10691.25,10000
10,0.2,0.9,459,10691.25,10000
10,0.2,1,459,10691.25,10000
10,0.3,0.1,459,10691.25,10000
10,0.3,0.2,459,10691.25,10000
10,0.3,0.3,459,10691.25,10000
10,0.3,0.4,459,10691.25,10000
10,0.3,0.5,459,10691.25,10000
10,0.3,0.6,459,10691.25,10000
10,0.3,0.7,459,10691.25,10000
10,0.3,0.8,459,10691.25,10000
10,0.3,0.9,459,10691.25,10000
10,0.3,1,459,10691.25,10000
10,0.4,0.1,459,10691.25,10000
10,0.4,0.2,459,10691.25,10000
10,0.4,0.3,459,10691.25,10000
10,0.4,0.4,459,10691.25,10000
10,0.4,0.5,459,10691.25,10000
10,0.4,0.6,459,10691.25,10000
10,0.4,0.7,459,10691.25,10000
10,0.4,0.8,459,10691.25,10000
10,0.4,0.9,459,10691.25,10000
10,0.4,1,459,10691.25,10000
10,0.5,0.1,459,10691.25,10000
10,0.5,0.2,459,10691.25,10000
10,0.5,0.3,459,10691.25,10000
10,0.5,0.4,459,10691.25,10000
10,0.5,0.5,459,10691.25,10000
10,0.5,0.6,459,10691.25,10000
10,0.5,0.7,459,10691.25,10000
10,0.5,0.8,459,10691.25,10000
10,0.5,0.9,459,10691.25,10000
10,0.5,1,459,10691.25,10000
10,0.6,0.1,459,10691.25,10000
10,0.6,0.2,459,10691.25,10000
10,0.6,0.3,459,10691.25,10000
10,0.6,0.4,459,10691.25,10000
10,0.6,0.5,459,10691.25,10000
10,0.6,0.6,459,10691.25,10000
10,0.6,0.7,459,10691.25,10000
10,0.6,0.8,459,10691.25,10000
10,0.6,0.9,459,10691.25,10000
10,0.6,1,459,10691.25,10000
10,0.7,0.1,459,10691.25,10000
10,0.7,0.2,459,10691.25,10000
10,0.7,0.3,459,10691.25,10000
10,0.7,0.4,459,10691.25,10000
10,0.7,0.5,459,10691.25,10000
10,0.7,0.6,459,10691.25,10000
10,0.7,0.7,459,10691.25,10000
10,0.7,0.8,459,10691.25,10000
10,0.7,0.9,459,10691.25,10000
10,0.7,1,459,10691.25,10000
10,0.8,0.1,459,10691.25,10000
10,0.8,0.2,459,10691.25,10000
10,0.8,0.3,459,10691.25,10000
10,0.8,0.4,459,10691.25,10000
10,0.8,0.5,459,10691.25,10000
10,0.8,0.6,459,10691.25,10000
10,0.8,0.7,459,10691.25,10000
10,0.8,0.8,459,10691.25,10000
10,0.8,0.9,459,10691.25,10000
10,0.8,1,459,10691.25,10000
10,0.9,0.1,459,10691.25,10000
10,0.9,0.2,459,10691.25,10000
10,0.9,0.3,459,10691.25,10000
10,0.9,0.4,459,10691.25,10000
10,0.9,0.5,459,10691.25,10000
10,0.9,0.6,459,10691.25,10000
10,0.9,0.7,459,10691.25,10000
10,0.9,0.8,459,10691.25,10000
10,0.9,0.9,459,10691.25,10000
10,0.9,1,459,10691.25,10000
10,1,0.1,459,10691.25,10000
10,1,0.2,459,10691.25,10000
10,1,0.3,459,10691.25,10000
10,1,0.4,459,10691.25,10000
10,1,0.5,459,10691.25,10000
10,1,0.6,459,10691.25,10000
10,1,0.7,459,10691.25,10000
10,1,0.8,459,10691.25,10000
10,1,0.9,459,10691.25,10000
10,1,1,459,10691.25,10000
1,0.1,0.1,459,27953.651,NaN
1,0.1,0.2,459,75571.469,1000
1,0.1,0.3,459,75571.469,1000
1,0.1,0.4,459,75571.469,1000
1,0.1,0.5,459,75571.469,1000
1,0.1,0.6,459,75571.469,1000
1,0.1,0.7,459,75571.469,1000
1,0.1,0.8,459,75571.469,1000
1,0.1,0.9,459,75571.469,1000
1,0.1,1,459,75571.469,1000
1,0.2,0.1,459,75571.469,1000
1,0.2,0.2,459,75571.469,1000
1,0.2,0.3,459,75571.469,1000
1,0.2,0.4,459,75571.469,1000
1,0.2,0.5,459,75571.469,1000
1,0.2,0.6,459,75571.469,1000
1,0.2,0.7,459,75571.469,1000
1,0.2,0.8,459,75571.469,1000
1,0.2,0.9,459,75571.469,1000
1,0.2,1,459,75571.469,1000
1,0.3,0.1,459,75571.469,1000
1,0.3,0.2,459,75571.469,1000
1,0.3,0.3,459,75571.469,1000
1,0.3,0.4,459,75571.469,1000
1,0.3,0.5,459,75571.469,1000
1,0.3,0.6,459,75571.469,1000
1,0.3,0.7,459,75571.469,1000
1,0.3,0.8,459,75571.469,1000
1,0.3,0.9,459,75571.469,1000
1,0.3,1,459,75571.469,1000
1,0.4,0.1,459,75571.469,1000
1,0.4,0.2,459,75571.469,1000
1,0.4,0.3,459,75571.469,1000
1,0.4,0.4,459,75571.469,1000
1,0.4,0.5,459,75571.469,1000
1,0.4,0.6,459,75571.469,1000
1,0.4,0.7,459,75571.469,1000
1,0.4,0.8,459,75571.469,1000
1,0.4,0.9,459,75571.469,1000
1,0.4,1,459,75571.469,1000
1,0.5,0.1,459,75571.469,1000
1,0.5,0.2,459,75571.469,1000
1,0.5,0.3,459,75571.469,1000
1,0.5,0.4,459,75571.469,1000
1,0.5,0.5,459,75571.469,1000
1,0.5,0.6,459,75571.469,1000
1,0.5,0.7,459,75571.469,1000
1,0.5,0.8,459,75571.469,1000
1,0.5,0.9,459,75571.469,1000
1,0.5,1,459,75571.469,1000
1,0.6,0.1,459,75571.469,1000
1,0.6,0.2,459,75571.469,1000
1,0.6,0.3,459,75571.469,1000
1,0.6,0.4,459,75571.469,1000
1,0.6,0.5,459,75571.469,1000
1,0.6,0.6,459,75571.469,1000
1,0.6,0.7,459,75571.469,1000
1,0.6,0.8,459,75571.469,1000
1,0.6,0.9,459,75571.469,1000
1,0.6,1,459,75571.469,1000
1,0.7,0.1,459,75571.469,1000
1,0.7,0.2,459,75571.469,1000
1,0.7,0.3,459,75571.469,1000
1,0.7,0.4,459,75571.469,1000
1,0.7,0.5,459,75571.469,1000
1,0.7,0.6,459,75571.469,1000
1,0.7,0.7,459,75571.469,1000
1,0.7,0.8,459,75571.469,1000
1,0.7,0.9,459,75571.469,1000
1,0.7,1,459,75571.469,1000
1,0.8,0.1,459,75571.469,1000
1,0.8,0.2,459,75571.469,1000
1,0.8,0.3,459,75571.469,1000
1,0.8,0.4,459,75571.469,1000
1,0.8,0.5,459,75571.469,1000
1,0.8,0.6,459,75571.469,1000
1,0.8,0.7,459,75571.469,1000
1,0.8,0.8,459,75571.469,1000
1,0.8,0.9,459,75571.469,1000
1,0.8,1,459,75571.469,1000
1,0.9,0.1,459,75571.469,1000
1,0.9,0.2,459,75571.469,1000
1,0.9,0.3,459,75571.469,1000
1,0.9,0.4,459,75571.469,1000
1,0.9,0.5,459,75571.469,1000
1,0.9,0.6,459,75571.469,1000
1,0.9,0.7,459,75571.469,1000
1,0.9,0.8,459,75571.469,1000
1,0.9,0.9,459,75571.469,1000
1,0.9,1,459,75571.469,1000
1,1,0.1,459,75571.469,1000
1,1,0.2,459,75571.469,1000
1,1,0.3,459,75571.469,1000
1,1,0.4,459,75571.469,1000
1,1,0.5,459,75571.469,1000
1,1,0.6,459,75571.469,1000
1,1,0.7,459,75571.469,1000
1,1,0.8,459,75571.469,1000
1,1,0.9,459,75571.469,1000
1,1,1,459,75571.469,1000
500,0.1,0.1,459,2712.781,500000
500,0.1,0.2,459,2712.781,500000
500,0.1,0.3,459,2712.781,500000
500,0.1,0.4,459,2712.781,500000
500,0.1,0.5,459,2712.781,500000
500,0.1,0.6,459,2712.781,500000
500,0.1,0.7,459,2712.781,500000
500,0.1,0.8,459,2712.781,500000
500,0.1,0.9,459,2712.781,500000
500,0.1,1,459,2712.781,500000
500,0.2,0.1,459,2712.781,500000
500,0.2,0.2,459,2712.781,500000
500,0.2,0.3,459,2712.781,500000
500,0.2,0.4,459,2712.781,500000
500,0.2,0.5,459,2712.781,500000
500,0.2,0.6,459,2712.781,500000
500,0.2,0.7,459,2712.781,500000
500,0.2,0.8,459,2712.781,500000
500,0.2,0.9,459,2712.781,500000
500,0.2,1,459,2712.781,500000
500,0.3,0.1,459,2712.781,500000
500,0.3,0.2,459,2712.781,500000
500,0.3,0.3,459,2712.781,500000
500,0.3,0.4,459,2712.781,500000
500,0.3,0.5,459,2712.781,500000
500,0.3,0.6,459,2712.781,500000
500,0.3,0.7,459,2712.781,500000
500,0.3,0.8,459,2712.781,500000
500,0.3,0.9,459,2712.781,500000
500,0.3,1,459,2712.781,500000
500,0.4,0.1,459,2712.781,500000
500,0.4,0.2,459,2712.781,500000
500,0.4,0.3,459,2712.781,500000
500,0.4,0.4,459,2712.781,500000
500,0.4,0.5,459,2712.781,500000
500,0.4,0.6,459,2712.781,500000
500,0.4,0.7,459,2712.781,500000
500,0.4,0.8,459,2712.781,500000
500,0.4,0.9,459,2712.781,500000
500,0.4,1,459,2712.781,500000
500,0.5,0.1,459,2712.781,500000
500,0.5,0.2,459,2712.781,500000
500,0.5,0.3,459,2712.781,500000
500,0.5,0.4,459,2712.781,500000
500,0.5,0.5,459,2712.781,500000
500,0.5,0.6,459,2712.781,500000
500,0.5,0.7,459,2712.781,500000
500,0.5,0.8,459,2712.781,500000
500,0.5,0.9,459,2712.781,500000
500,0.5,1,459,2712.781,500000
500,0.6,0.1,459,2712.781,500000
500,0.6,0.2,459,2712.781,500000
500,0.6,0.3,459,2712.781,500000
500,0.6,0.4,459,2712.781,500000
500,0.6,0.5,459,2712.781,500000
500,0.6,0.6,459,2712.781,500000
500,0.6,0.7,459,2712.781,500000
500,0.6,0.8,459,2712.781,500000
500,0.6,0.9,459,2712.781,500000
500,0.6,1,459,2712.781,500000
500,0.7,0.1,459,2712.781,500000
500,0.7,0.2,459,2712.781,500000
500,0.7,0.3,459,2712.781,500000
500,0.7,0.4,459,2712.781,500000
500,0.7,0.5,459,2712.781,500000
500,0.7,0.6,459,2712.781,500000
500,0.7,0.7,459,2712.781,500000
500,0.7,0.8,459,2712.781,500000
500,0.7,0.9,459,2712.781,500000
500,0.7,1,459,2712.781,500000
500,0.8,0.1,459,2712.781,500000
500,0.8,0.2,459,2712.781,500000
500,0.8,0.3,459,2712.781,500000
500,0.8,0.4,459,2712.781,500000
500,0.8,0.5,459,2712.781,500000
500,0.8,0.6,459,2712.781,500000
500,0.8,0.7,459,2712.781,500000
500,0.8,0.8,459,2712.781,500000
500,0.8,0.9,459,2712.781,500000
500,0.8,1,459,2712.781,500000
500,0.9,0.1,459,2712.781,500000
500,0.9,0.2,459,2712.781,500000
500,0.9,0.3,459,2712.781,500000
500,0.9,0.4,459,2712.781,500000
500,0.9,0.5,459,2712.781,500000
500,0.9,0.6,459,2712.781,500000
500,0.9,0.7,459,2712.781,500000
500,0.9,0.8,459,2712.781,500000
500,0.9,0.9,459,2712.781,500000
500,0.9,1,459,2712.781,500000
500,1,0.1,459,2712.781,500000
500,1,0.2,459,2712.781,500000
500,1,0.3,459,2712.781,500000
500,1,0.4,459,2712.781,500000
500,1,0.5,459,2712.781,500000
500,1,0.6,459,2712.781,500000
500,1,0.7,459,2712.781,500000
500,1,0.8,459,2712.781,500000
500,1,0.9,459,2712.781,500000
500,1,1,459,2712.781,500000
50,0.1,0.1,459,4553.267,50000
50,0.1,0.2,459,4553.267,50000
50,0.1,0.3,459,4553.267,50000
50,0.1,0.4,459,4553.267,50000
50,0.1,0.5,459,4553.267,50000
50,0.1,0.6,459,4553.267,50000
50,0.1,0.7,459,4553.267,50000
50,0.1,0.8,459,4553.267,50000
50,0.1,0.9,459,4553.267,50000
50,0.1,1,459,4553.267,50000
50,0.2,0.1,459,4553.267,50000
50,0.2,0.2,459,4553.267,50000
50,0.2,0.3,459,4553.267,50000
50,0.2,0.4,459,4553.267,50000
50,0.2,0.5,459,4553.267,50000
50,0.2,0.6,459,4553.267,50000
50,0.2,0.7,459,4553.267,50000
50,0.2,0.8,459,4553.267,50000
50,0.2,0.9,459,4553.267,50000
50,0.2,1,459,4553.267,50000
50,0.3,0.1,459,4553.267,50000
50,0.3,0.2,459,4553.267,50000
50,0.3,0.3,459,4553.267,50000
50,0.3,0.4,459,4553.267,50000
50,0.3,0.5,459,4553.267,50000
50,0.3,0.6,459,4553.267,50000
50,0.3,0.7,459,4553.267,50000
50,0.3,0.8,459,4553.267,50000
50,0.3,0.9,459,4553.267,50000
50,0.3,1,459,4553.267,50000
50,0.4,0.1,459,4553.267,50000
50,0.4,0.2,459,4553.267,50000
50,0.4,0.3,459,4553.267,50000
50,0.4,0.4,459,4553.267,50000
50,0.4,0.5,459,4553.267,50000
50,0.4,0.6,459,4553.267,50000
50,0.4,0.7,459,4553.267,50000
50,0.4,0.8,459,4553.267,50000
50,0.4,0.9,459,4553.267,50000
50,0.4,1,459,4553.267,50000
50,0.5,0.1,459,4553.267,50000
50,0.5,0.2,459,4553.267,50000
50,0.5,0.3,459,4553.267,50000
50,0.5,0.4,459,4553.267,50000
50,0.5,0.5,459,4553.267,50000
50,0.5,0.6,459,4553.267,50000
50,0.5,0.7,459,4553.267,50000
50,0.5,0.8,459,4553.267,50000
50,0.5,0.9,459,4553.267,50000
50,0.5,1,459,4553.267,50000
50,0.6,0.1,459,4553.267,50000
50,0.6,0.2,459,4553.267,50000
50,0.6,0.3,459,4553.267,50000
50,0.6,0.4,459,4553.267,50000
50,0.6,0.5,459,4553.267,50000
50,0.6,0.6,459,4553.267,50000
50,0.6,0.7,459,4553.267,50000
50,0.6,0.8,459,4553.267,50000
50,0.6,0.9,459,4553.267,50000
50,0.6,1,459,4553.267,50000
50,0.7,0.1,459,4553.267,50000
50,0.7,0.2,459,4553.267,50000
50,0.7,0.3,459,4553.267,50000
50,0.7,0.4,459,4553.267,50000
50,0.7,0.5,459,4553.267,50000
50,0.7,0.6,459,4553.267,50000
50,0.7,0.7,459,4553.267,50000
50,0.7,0.8,459,4553.267,50000
50,0.7,0.9,459,4553.267,50000
50,0.7,1,459,4553.267,50000
50,0.8,0.1,459,4553.267,50000
50,0.8,0.2,459,4553.267,50000
50,0.8,0.3,459,4553.267,50000
50,0.8,0.4,459,4553.267,50000
50,0.8,0.5,459,4553.267,50000
50,0.8,0.6,459,4553.267,50000
50,0.8,0.7,459,4553.267,50000
50,0.8,0.8,459,4553.267,50000
50,0.8,0.9,459,4553.267,50000
50,0.8,1,459,4553.267,50000
50,0.9,0.1,459,4553.267,50000
50,0.9,0.2,459,4553.267,50000
50,0.9,0.3,459,4553.267,50000
50,0.9,0.4,459,4553.267,50000
50,0.9,0.5,459,4553.267,50000
50,0.9,0.6,459,4553.267,50000
50,0.9,0.7,459,4553.267,50000
50,0.9,0.8,459,4553.267,50000
50,0.9,0.9,459,4553.267,50000
50,0.9,1,459,4553.267,50000
50,1,0.1,459,4553.267,50000
50,1,0.2,459,4553.267,50000
50,1,0.3,459,4553.267,50000
50,1,0.4,459,4553.267,50000
50,1,0.5,459,4553.267,50000
50,1,0.6,459,4553.267,50000
50,1,0.7,459,4553.267,50000
50,1,0.8,459,4553.267,50000
50,1,0.9,459,4553.267,50000
50,1,1,459,4553.267,50000
5,0.1,0.1,459,18327.637,5000
5,0.1,0.2,459,18327.637,5000
5,0.1,0.3,459,18327.637,5000
5,0.1,0.4,459,18327.637,5000
5,0.1,0.5,459,18327.637,5000
5,0.1,0.6,459,18327.637,5000
5,0.1,0.7,459,18327.637,5000
5,0.1,0.8,459,18327.637,5000
5,0.1,0.9,459,18327.637,5000
5,0.1,1,459,18327.637,5000
5,0.2,0.1,459,18327.637,5000
5,0.2,0.2,459,18327.637,5000
5,0.2,0.3,459,18327.637,5000
5,0.2,0.4,459,18327.637,5000
5,0.2,0.5,459,18327.637,5000
5,0.2,0.6,459,18327.637,5000
5,0.2,0.7,459,18327.637,5000
5,0.2,0.8,459,18327.637,5000
5,0.2,0.9,459,18327.637,5000
5,0.2,1,459,18327.637,5000
5,0.3,0.1,459,18327.637,5000
5,0.3,0.2,459,18327.637,5000
5,0.3,0.3,459,18327.637,5000
5,0.3,0.4,459,18327.637,5000
5,0.3,0.5,459,18327.637,5000
5,0.3,0.6,459,18327.637,5000
5,0.3,0.7,459,18327.637,5000
5,0.3,0.8,459,18327.637,5000
5,0.3,0.9,459,18327.637,5000
5,0.3,1,459,18327.637,5000
5,0.4,0.1,459,18327.637,5000
5,0.4,0.2,459,18327.637,5000
5,0.4,0.3,459,18327.637,5000
5,0.4,0.4,459,18327.637,5000
5,0.4,0.5,459,18327.637,5000
5,0.4,0.6,459,18327.637,5000
5,0.4,0.7,459,18327.637,5000
5,0.4,0.8,459,18327.637,5000
5,0.4,0.9,459,18327.637,5000
5,0.4,1,459,18327.637,5000
5,0.5,0.1,459,18327.637,5000
5,0.5,0.2,459,18327.637,5000
5,0.5,0.3,459,18327.637,5000
5,0.5,0.4,459,18327.637,5000
5,0.5,0.5,459,18327.637,5000
5,0.5,0.6,459,18327.637,5000
5,0.5,0.7,459,18327.637,5000
5,0.5,0.8,459,18327.637,5000
5,0.5,0.9,459,18327.637,5000
5,0.5,1,459,18327.637,5000
5,0.6,0.1,459,18327.637,5000
5,0.6,0.2,459,18327.637,5000
5,0.6,0.3,459,18327.637,5000
5,0.6,0.4,459,18327.637,5000
5,0.6,0.5,459,18327.637,5000
5,0.6,0.6,459,18327.637,5000
5,0.6,0.7,459,18327.637,5000
5,0.6,0.8,459,18327.637,5000
5,0.6,0.9,459,18327.637,5000
5,0.6,1,459,18327.637,5000
5,0.7,0.1,459,18327.637,5000
5,0.7,0.2,459,18327.637,5000
5,0.7,0.3,459,18327.637,5000
5,0.7,0.4,459,18327.637,5000
5,0.7,0.5,459,18327.637,5000
5,0.7,0.6,459,18327.637,5000
5,0.7,0.7,459,18327.637,5000
5,0.7,0.8,459,18327.637,5000
5,0.7,0.9,459,18327.637,5000
5,0.7,1,459,18327.637,5000
5,0.8,0.1,459,18327.637,5000
5,0.8,0.2,459,18327.637,5000
5,0.8,0.3,459,18327.637,5000
5,0.8,0.4,459,18327.637,5000
5,0.8,0.5,459,18327.637,5000
5,0.8,0.6,459,18327.637,5000
5,0.8,0.7,459,18327.637,5000
5,0.8,0.8,459,18327.637,5000
5,0.8,0.9,459,18327.637,5000
5,0.8,1,459,18327.637,5000
5,0.9,0.1,459,18327.637,5000
5,0.9,0.2,459,18327.637,5000
5,0.9,0.3,459,18327.637,5000
5,0.9,0.4,459,18327.637,5000
5,0.9,0.5,459,18327.637,5000
5,0.9,0.6,459,18327.637,5000
5,0.9,0.7,459,18327.637,5000
5,0.9,0.8,459,18327.637,5000
5,0.9,0.9,459,18327.637,5000
5,0.9,1,459,18327.637,5000
5,1,0.1,459,18327.637,5000
5,1,0.2,459,18327.637,5000
5,1,0.3,459,18327.637,5000
5,1,0.4,459,18327.637,5000
5,1,0.5,459,18327.637,5000
5,1,0.6,459,18327.637,5000
5,1,0.7,459,18327.637,5000
5,1,0.8,459,18327.637,5000
5,1,0.9,459,18327.637,5000
5,1,1,459,18327.637,5000
