ClockPeriod,InputDelay,OutputDelay,Area,Power,Time
1000,0.1,0.1,196,1923.13,2237
1000,0.1,0.2,196,1923.13,2237
1000,0.1,0.3,196,1923.13,2237
1000,0.1,0.4,196,1923.13,2237
1000,0.1,0.5,196,1923.13,2237
1000,0.1,0.6,196,1923.13,2237
1000,0.1,0.7,196,1923.13,2237
1000,0.1,0.8,196,1923.13,2237
1000,0.1,0.9,196,1923.13,2237
1000,0.1,1,196,1923.13,2237
1000,0.2,0.1,196,1923.13,2337
1000,0.2,0.2,196,1923.13,2337
1000,0.2,0.3,196,1923.13,2337
1000,0.2,0.4,196,1923.13,2337
1000,0.2,0.5,196,1923.13,2337
1000,0.2,0.6,196,1923.13,2337
1000,0.2,0.7,196,1923.13,2337
1000,0.2,0.8,196,1923.13,2337
1000,0.2,0.9,196,1923.13,2337
1000,0.2,1,196,1923.13,2337
1000,0.3,0.1,196,1923.13,2437
1000,0.3,0.2,196,1923.13,2437
1000,0.3,0.3,196,1923.13,2437
1000,0.3,0.4,196,1923.13,2437
1000,0.3,0.5,196,1923.13,2437
1000,0.3,0.6,196,1923.13,2437
1000,0.3,0.7,196,1923.13,2437
1000,0.3,0.8,196,1923.13,2437
1000,0.3,0.9,196,1923.13,2437
1000,0.3,1,196,1923.13,2437
1000,0.4,0.1,196,1923.13,2537
1000,0.4,0.2,196,1923.13,2537
1000,0.4,0.3,196,1923.13,2537
1000,0.4,0.4,196,1923.13,2537
1000,0.4,0.5,196,1923.13,2537
1000,0.4,0.6,196,1923.13,2537
1000,0.4,0.7,196,1923.13,2537
1000,0.4,0.8,196,1923.13,2537
1000,0.4,0.9,196,1923.13,2537
1000,0.4,1,196,1923.13,2537
1000,0.5,0.1,196,1923.13,2637
1000,0.5,0.2,196,1923.13,2637
1000,0.5,0.3,196,1923.13,2637
1000,0.5,0.4,196,1923.13,2637
1000,0.5,0.5,196,1923.13,2637
1000,0.5,0.6,196,1923.13,2637
1000,0.5,0.7,196,1923.13,2637
1000,0.5,0.8,196,1923.13,2637
1000,0.5,0.9,196,1923.13,2637
1000,0.5,1,196,1923.13,2637
1000,0.6,0.1,196,1923.13,2737
1000,0.6,0.2,196,1923.13,2737
1000,0.6,0.3,196,1923.13,2737
1000,0.6,0.4,196,1923.13,2737
1000,0.6,0.5,196,1923.13,2737
1000,0.6,0.6,196,1923.13,2737
1000,0.6,0.7,196,1923.13,2737
1000,0.6,0.8,196,1923.13,2737
1000,0.6,0.9,196,1923.13,2737
1000,0.6,1,196,1923.13,2737
1000,0.7,0.1,196,1923.13,2837
1000,0.7,0.2,196,1923.13,2837
1000,0.7,0.3,196,1923.13,2837
1000,0.7,0.4,196,1923.13,2837
1000,0.7,0.5,196,1923.13,2837
1000,0.7,0.6,196,1923.13,2837
1000,0.7,0.7,196,1923.13,2837
1000,0.7,0.8,196,1923.13,2837
1000,0.7,0.9,196,1923.13,2837
1000,0.7,1,196,1923.13,2837
1000,0.8,0.1,196,1923.13,2937
1000,0.8,0.2,196,1923.13,2937
1000,0.8,0.3,196,1923.13,2937
1000,0.8,0.4,196,1923.13,2937
1000,0.8,0.5,196,1923.13,2937
1000,0.8,0.6,196,1923.13,2937
1000,0.8,0.7,196,1923.13,2937
1000,0.8,0.8,196,1923.13,2937
1000,0.8,0.9,196,1923.13,2937
1000,0.8,1,196,1923.13,2937
1000,0.9,0.1,196,1923.13,3037
1000,0.9,0.2,196,1923.13,3037
1000,0.9,0.3,196,1923.13,3037
1000,0.9,0.4,196,1923.13,3037
1000,0.9,0.5,196,1923.13,3037
1000,0.9,0.6,196,1923.13,3037
1000,0.9,0.7,196,1923.13,3037
1000,0.9,0.8,196,1923.13,3037
1000,0.9,0.9,196,1923.13,3037
1000,0.9,1,196,1923.13,3037
1000,1,0.1,196,1923.13,3137
1000,1,0.2,196,1923.13,3137
1000,1,0.3,196,1923.13,3137
1000,1,0.4,196,1923.13,3137
1000,1,0.5,196,1923.13,3137
1000,1,0.6,196,1923.13,3137
1000,1,0.7,196,1923.13,3137
1000,1,0.8,196,1923.13,3137
1000,1,0.9,196,1923.13,3137
1000,1,1,196,1923.13,3137
100,0.1,0.1,196,2471.112,2237
100,0.1,0.2,196,2471.112,2237
100,0.1,0.3,196,2471.112,2237
100,0.1,0.4,196,2471.112,2237
100,0.1,0.5,196,2471.112,2237
100,0.1,0.6,196,2471.112,2237
100,0.1,0.7,196,2471.112,2237
100,0.1,0.8,196,2471.112,2237
100,0.1,0.9,196,2471.112,2237
100,0.1,1,196,2471.112,2237
100,0.2,0.1,196,2471.112,2337
100,0.2,0.2,196,2471.112,2337
100,0.2,0.3,196,2471.112,2337
100,0.2,0.4,196,2471.112,2337
100,0.2,0.5,196,2471.112,2337
100,0.2,0.6,196,2471.112,2337
100,0.2,0.7,196,2471.112,2337
100,0.2,0.8,196,2471.112,2337
100,0.2,0.9,196,2471.112,2337
100,0.2,1,196,2471.112,2337
100,0.3,0.1,196,2471.112,2437
100,0.3,0.2,196,2471.112,2437
100,0.3,0.3,196,2471.112,2437
100,0.3,0.4,196,2471.112,2437
100,0.3,0.5,196,2471.112,2437
100,0.3,0.6,196,2471.112,2437
100,0.3,0.7,196,2471.112,2437
100,0.3,0.8,196,2471.112,2437
100,0.3,0.9,196,2471.112,2437
100,0.3,1,196,2471.112,2437
100,0.4,0.1,196,2471.112,2537
100,0.4,0.2,196,2471.112,2537
100,0.4,0.3,196,2471.112,2537
100,0.4,0.4,196,2471.112,2537
100,0.4,0.5,196,2471.112,2537
100,0.4,0.6,196,2471.112,2537
100,0.4,0.7,196,2471.112,2537
100,0.4,0.8,196,2471.112,2537
100,0.4,0.9,196,2471.112,2537
100,0.4,1,196,2471.112,2537
100,0.5,0.1,196,2471.112,2637
100,0.5,0.2,196,2471.112,2637
100,0.5,0.3,196,2471.112,2637
100,0.5,0.4,196,2471.112,2637
100,0.5,0.5,196,2471.112,2637
100,0.5,0.6,196,2471.112,2637
100,0.5,0.7,196,2471.112,2637
100,0.5,0.8,196,2471.112,2637
100,0.5,0.9,196,2471.112,2637
100,0.5,1,196,2471.112,2637
100,0.6,0.1,196,2471.112,2737
100,0.6,0.2,196,2471.112,2737
100,0.6,0.3,196,2471.112,2737
100,0.6,0.4,196,2471.112,2737
100,0.6,0.5,196,2471.112,2737
100,0.6,0.6,196,2471.112,2737
100,0.6,0.7,196,2471.112,2737
100,0.6,0.8,196,2471.112,2737
100,0.6,0.9,196,2471.112,2737
100,0.6,1,196,2471.112,2737
100,0.7,0.1,196,2471.112,2837
100,0.7,0.2,196,2471.112,2837
100,0.7,0.3,196,2471.112,2837
100,0.7,0.4,196,2471.112,2837
100,0.7,0.5,196,2471.112,2837
100,0.7,0.6,196,2471.112,2837
100,0.7,0.7,196,2471.112,2837
100,0.7,0.8,196,2471.112,2837
100,0.7,0.9,196,2471.112,2837
100,0.7,1,196,2471.112,2837
100,0.8,0.1,196,2471.112,2937
100,0.8,0.2,196,2471.112,2937
100,0.8,0.3,196,2471.112,2937
100,0.8,0.4,196,2471.112,2937
100,0.8,0.5,196,2471.112,2937
100,0.8,0.6,196,2471.112,2937
100,0.8,0.7,196,2471.112,2937
100,0.8,0.8,196,2471.112,2937
100,0.8,0.9,196,2471.112,2937
100,0.8,1,196,2471.112,2937
100,0.9,0.1,196,2471.112,3037
100,0.9,0.2,196,2471.112,3037
100,0.9,0.3,196,2471.112,3037
100,0.9,0.4,196,2471.112,3037
100,0.9,0.5,196,2471.112,3037
100,0.9,0.6,196,2471.112,3037
100,0.9,0.7,196,2471.112,3037
100,0.9,0.8,196,2471.112,3037
100,0.9,0.9,196,2471.112,3037
100,0.9,1,196,2471.112,3037
100,1,0.1,196,2471.112,3137
100,1,0.2,196,2471.112,3137
100,1,0.3,196,2471.112,3137
100,1,0.4,196,2471.112,3137
100,1,0.5,196,2471.112,3137
100,1,0.6,196,2471.112,3137
100,1,0.7,196,2471.112,3137
100,1,0.8,196,2471.112,3137
100,1,0.9,196,2471.112,3137
100,1,1,196,2471.112,3137
10,0.1,0.1,196,5876.243,2237
10,0.1,0.2,196,5876.243,2237
10,0.1,0.3,196,5876.243,2237
10,0.1,0.4,196,5876.243,2237
10,0.1,0.5,196,5876.243,2237
10,0.1,0.6,196,5876.243,2237
10,0.1,0.7,196,5876.243,2237
10,0.1,0.8,196,5876.243,2237
10,0.1,0.9,196,5876.243,2237
10,0.1,1,196,5876.243,2237
10,0.2,0.1,196,5876.243,2337
10,0.2,0.2,196,5876.243,2337
10,0.2,0.3,196,5876.243,2337
10,0.2,0.4,196,5876.243,2337
10,0.2,0.5,196,5876.243,2337
10,0.2,0.6,196,5876.243,2337
10,0.2,0.7,196,5876.243,2337
10,0.2,0.8,196,5876.243,2337
10,0.2,0.9,196,5876.243,2337
10,0.2,1,196,5876.243,2337
10,0.3,0.1,196,5876.243,2437
10,0.3,0.2,196,5876.243,2437
10,0.3,0.3,196,5876.243,2437
10,0.3,0.4,196,5876.243,2437
10,0.3,0.5,196,5876.243,2437
10,0.3,0.6,196,5876.243,2437
10,0.3,0.7,196,5876.243,2437
10,0.3,0.8,196,5876.243,2437
10,0.3,0.9,196,5876.243,2437
10,0.3,1,196,5876.243,2437
10,0.4,0.1,196,5876.243,2537
10,0.4,0.2,196,5876.243,2537
10,0.4,0.3,196,5876.243,2537
10,0.4,0.4,196,5876.243,2537
10,0.4,0.5,196,5876.243,2537
10,0.4,0.6,196,5876.243,2537
10,0.4,0.7,196,5876.243,2537
10,0.4,0.8,196,5876.243,2537
10,0.4,0.9,196,5876.243,2537
10,0.4,1,196,5876.243,2537
10,0.5,0.1,196,5876.243,2637
10,0.5,0.2,196,5876.243,2637
10,0.5,0.3,196,5876.243,2637
10,0.5,0.4,196,5876.243,2637
10,0.5,0.5,196,5876.243,2637
10,0.5,0.6,196,5876.243,2637
10,0.5,0.7,196,5876.243,2637
10,0.5,0.8,196,5876.243,2637
10,0.5,0.9,196,5876.243,2637
10,0.5,1,196,5876.243,2637
10,0.6,0.1,196,5876.243,2737
10,0.6,0.2,196,5876.243,2737
10,0.6,0.3,196,5876.243,2737
10,0.6,0.4,196,5876.243,2737
10,0.6,0.5,196,5876.243,2737
10,0.6,0.6,196,5876.243,2737
10,0.6,0.7,196,5876.243,2737
10,0.6,0.8,196,5876.243,2737
10,0.6,0.9,196,5876.243,2737
10,0.6,1,196,5876.243,2737
10,0.7,0.1,196,5876.243,2837
10,0.7,0.2,196,5876.243,2837
10,0.7,0.3,196,5876.243,2837
10,0.7,0.4,196,5876.243,2837
10,0.7,0.5,196,5876.243,2837
10,0.7,0.6,196,5876.243,2837
10,0.7,0.7,196,5876.243,2837
10,0.7,0.8,196,5876.243,2837
10,0.7,0.9,196,5876.243,2837
10,0.7,1,196,5876.243,2837
10,0.8,0.1,196,5876.243,2937
10,0.8,0.2,196,5876.243,2937
10,0.8,0.3,196,5876.243,2937
10,0.8,0.4,196,5876.243,2937
10,0.8,0.5,196,5876.243,2937
10,0.8,0.6,196,5876.243,2937
10,0.8,0.7,196,5876.243,2937
10,0.8,0.8,196,5876.243,2937
10,0.8,0.9,196,5876.243,2937
10,0.8,1,196,5876.243,2937
10,0.9,0.1,196,5876.243,3037
10,0.9,0.2,196,5876.243,3037
10,0.9,0.3,196,5876.243,3037
10,0.9,0.4,196,5876.243,3037
10,0.9,0.5,196,5876.243,3037
10,0.9,0.6,196,5876.243,3037
10,0.9,0.7,196,5876.243,3037
10,0.9,0.8,196,5876.243,3037
10,0.9,0.9,196,5876.243,3037
10,0.9,1,196,5876.243,3037
10,1,0.1,196,5876.243,3137
10,1,0.2,196,5876.243,3137
10,1,0.3,196,5876.243,3137
10,1,0.4,196,5876.243,3137
10,1,0.5,196,5876.243,3137
10,1,0.6,196,5876.243,3137
10,1,0.7,196,5876.243,3137
10,1,0.8,196,5876.243,3137
10,1,0.9,196,5876.243,3137
10,1,1,196,5876.243,3137
1,0.1,0.1,196,3871.112,NaN
1,0.1,0.2,196,35876.97,2237
1,0.1,0.3,196,35876.97,2237
1,0.1,0.4,196,35876.97,2237
1,0.1,0.5,196,35876.97,2237
1,0.1,0.6,196,35876.97,2237
1,0.1,0.7,196,35876.97,2237
1,0.1,0.8,196,35876.97,2237
1,0.1,0.9,196,35876.97,2237
1,0.1,1,196,35876.97,2237
1,0.2,0.1,196,35876.97,2337
1,0.2,0.2,196,35876.97,2337
1,0.2,0.3,196,35876.97,2337
1,0.2,0.4,196,35876.97,2337
1,0.2,0.5,196,35876.97,2337
1,0.2,0.6,196,35876.97,2337
1,0.2,0.7,196,35876.97,2337
1,0.2,0.8,196,35876.97,2337
1,0.2,0.9,196,35876.97,2337
1,0.2,1,196,35876.97,2337
1,0.3,0.1,196,35876.97,2437
1,0.3,0.2,196,35876.97,2437
1,0.3,0.3,196,35876.97,2437
1,0.3,0.4,196,35876.97,2437
1,0.3,0.5,196,35876.97,2437
1,0.3,0.6,196,35876.97,2437
1,0.3,0.7,196,35876.97,2437
1,0.3,0.8,196,35876.97,2437
1,0.3,0.9,196,35876.97,2437
1,0.3,1,196,35876.97,2437
1,0.4,0.1,196,35876.97,2537
1,0.4,0.2,196,35876.97,2537
1,0.4,0.3,196,35876.97,2537
1,0.4,0.4,196,35876.97,2537
1,0.4,0.5,196,35876.97,2537
1,0.4,0.6,196,35876.97,2537
1,0.4,0.7,196,35876.97,2537
1,0.4,0.8,196,35876.97,2537
1,0.4,0.9,196,35876.97,2537
1,0.4,1,196,35876.97,2537
1,0.5,0.1,196,35876.97,2637
1,0.5,0.2,196,35876.97,2637
1,0.5,0.3,196,35876.97,2637
1,0.5,0.4,196,35876.97,2637
1,0.5,0.5,196,35876.97,2637
1,0.5,0.6,196,35876.97,2637
1,0.5,0.7,196,35876.97,2637
1,0.5,0.8,196,35876.97,2637
1,0.5,0.9,196,35876.97,2637
1,0.5,1,196,35876.97,2637
1,0.6,0.1,196,35876.97,2737
1,0.6,0.2,196,35876.97,2737
1,0.6,0.3,196,35876.97,2737
1,0.6,0.4,196,35876.97,2737
1,0.6,0.5,196,35876.97,2737
1,0.6,0.6,196,35876.97,2737
1,0.6,0.7,196,35876.97,2737
1,0.6,0.8,196,35876.97,2737
1,0.6,0.9,196,35876.97,2737
1,0.6,1,196,35876.97,2737
1,0.7,0.1,196,35876.97,2837
1,0.7,0.2,196,35876.97,2837
1,0.7,0.3,196,35876.97,2837
1,0.7,0.4,196,35876.97,2837
1,0.7,0.5,196,35876.97,2837
1,0.7,0.6,196,35876.97,2837
1,0.7,0.7,196,35876.97,2837
1,0.7,0.8,196,35876.97,2837
1,0.7,0.9,196,35876.97,2837
1,0.7,1,196,35876.97,2837
1,0.8,0.1,196,35876.97,2937
1,0.8,0.2,196,35876.97,2937
1,0.8,0.3,196,35876.97,2937
1,0.8,0.4,196,35876.97,2937
1,0.8,0.5,196,35876.97,2937
1,0.8,0.6,196,35876.97,2937
1,0.8,0.7,196,35876.97,2937
1,0.8,0.8,196,35876.97,2937
1,0.8,0.9,196,35876.97,2937
1,0.8,1,196,35876.97,2937
1,0.9,0.1,196,35876.97,3037
1,0.9,0.2,196,35876.97,3037
1,0.9,0.3,196,35876.97,3037
1,0.9,0.4,196,35876.97,3037
1,0.9,0.5,196,35876.97,3037
1,0.9,0.6,196,35876.97,3037
1,0.9,0.7,196,35876.97,3037
1,0.9,0.8,196,35876.97,3037
1,0.9,0.9,196,35876.97,3037
1,0.9,1,196,35876.97,3037
1,1,0.1,196,35876.97,3137
1,1,0.2,196,35876.97,3137
1,1,0.3,196,35876.97,3137
1,1,0.4,196,35876.97,3137
1,1,0.5,196,35876.97,3137
1,1,0.6,196,35876.97,3137
1,1,0.7,196,35876.97,3137
1,1,0.8,196,35876.97,3137
1,1,0.9,196,35876.97,3137
1,1,1,196,35876.97,3137
500,0.1,0.1,196,1923.13,2237
500,0.1,0.2,196,1923.13,2237
500,0.1,0.3,196,1923.13,2237
500,0.1,0.4,196,1923.13,2237
500,0.1,0.5,196,1923.13,2237
500,0.1,0.6,196,1923.13,2237
500,0.1,0.7,196,1923.13,2237
500,0.1,0.8,196,1923.13,2237
500,0.1,0.9,196,1923.13,2237
500,0.1,1,196,1923.13,2237
500,0.2,0.1,196,1923.13,2337
500,0.2,0.2,196,1923.13,2337
500,0.2,0.3,196,1923.13,2337
500,0.2,0.4,196,1923.13,2337
500,0.2,0.5,196,1923.13,2337
500,0.2,0.6,196,1923.13,2337
500,0.2,0.7,196,1923.13,2337
500,0.2,0.8,196,1923.13,2337
500,0.2,0.9,196,1923.13,2337
500,0.2,1,196,1923.13,2337
500,0.3,0.1,196,1923.13,2437
500,0.3,0.2,196,1923.13,2437
500,0.3,0.3,196,1923.13,2437
500,0.3,0.4,196,1923.13,2437
500,0.3,0.5,196,1923.13,2437
500,0.3,0.6,196,1923.13,2437
500,0.3,0.7,196,1923.13,2437
500,0.3,0.8,196,1923.13,2437
500,0.3,0.9,196,1923.13,2437
500,0.3,1,196,1923.13,2437
500,0.4,0.1,196,1923.13,2537
500,0.4,0.2,196,1923.13,2537
500,0.4,0.3,196,1923.13,2537
500,0.4,0.4,196,1923.13,2537
500,0.4,0.5,196,1923.13,2537
500,0.4,0.6,196,1923.13,2537
500,0.4,0.7,196,1923.13,2537
500,0.4,0.8,196,1923.13,2537
500,0.4,0.9,196,1923.13,2537
500,0.4,1,196,1923.13,2537
500,0.5,0.1,196,1923.13,2637
500,0.5,0.2,196,1923.13,2637
500,0.5,0.3,196,1923.13,2637
500,0.5,0.4,196,1923.13,2637
500,0.5,0.5,196,1923.13,2637
500,0.5,0.6,196,1923.13,2637
500,0.5,0.7,196,1923.13,2637
500,0.5,0.8,196,1923.13,2637
500,0.5,0.9,196,1923.13,2637
500,0.5,1,196,1923.13,2637
500,0.6,0.1,196,1923.13,2737
500,0.6,0.2,196,1923.13,2737
500,0.6,0.3,196,1923.13,2737
500,0.6,0.4,196,1923.13,2737
500,0.6,0.5,196,1923.13,2737
500,0.6,0.6,196,1923.13,2737
500,0.6,0.7,196,1923.13,2737
500,0.6,0.8,196,1923.13,2737
500,0.6,0.9,196,1923.13,2737
500,0.6,1,196,1923.13,2737
500,0.7,0.1,196,1923.13,2837
500,0.7,0.2,196,1923.13,2837
500,0.7,0.3,196,1923.13,2837
500,0.7,0.4,196,1923.13,2837
500,0.7,0.5,196,1923.13,2837
500,0.7,0.6,196,1923.13,2837
500,0.7,0.7,196,1923.13,2837
500,0.7,0.8,196,1923.13,2837
500,0.7,0.9,196,1923.13,2837
500,0.7,1,196,1923.13,2837
500,0.8,0.1,196,1923.13,2937
500,0.8,0.2,196,1923.13,2937
500,0.8,0.3,196,1923.13,2937
500,0.8,0.4,196,1923.13,2937
500,0.8,0.5,196,1923.13,2937
500,0.8,0.6,196,1923.13,2937
500,0.8,0.7,196,1923.13,2937
500,0.8,0.8,196,1923.13,2937
500,0.8,0.9,196,1923.13,2937
500,0.8,1,196,1923.13,2937
500,0.9,0.1,196,1923.13,3037
500,0.9,0.2,196,1923.13,3037
500,0.9,0.3,196,1923.13,3037
500,0.9,0.4,196,1923.13,3037
500,0.9,0.5,196,1923.13,3037
500,0.9,0.6,196,1923.13,3037
500,0.9,0.7,196,1923.13,3037
500,0.9,0.8,196,1923.13,3037
500,0.9,0.9,196,1923.13,3037
500,0.9,1,196,1923.13,3037
500,1,0.1,196,1923.13,3137
500,1,0.2,196,1923.13,3137
500,1,0.3,196,1923.13,3137
500,1,0.4,196,1923.13,3137
500,1,0.5,196,1923.13,3137
500,1,0.6,196,1923.13,3137
500,1,0.7,196,1923.13,3137
500,1,0.8,196,1923.13,3137
500,1,0.9,196,1923.13,3137
500,1,1,196,1923.13,3137
50,0.1,0.1,196,2635.134,2237
50,0.1,0.2,196,2635.134,2237
50,0.1,0.3,196,2635.134,2237
50,0.1,0.4,196,2635.134,2237
50,0.1,0.5,196,2635.134,2237
50,0.1,0.6,196,2635.134,2237
50,0.1,0.7,196,2635.134,2237
50,0.1,0.8,196,2635.134,2237
50,0.1,0.9,196,2635.134,2237
50,0.1,1,196,2635.134,2237
50,0.2,0.1,196,2635.134,2337
50,0.2,0.2,196,2635.134,2337
50,0.2,0.3,196,2635.134,2337
50,0.2,0.4,196,2635.134,2337
50,0.2,0.5,196,2635.134,2337
50,0.2,0.6,196,2635.134,2337
50,0.2,0.7,196,2635.134,2337
50,0.2,0.8,196,2635.134,2337
50,0.2,0.9,196,2635.134,2337
50,0.2,1,196,2635.134,2337
50,0.3,0.1,196,2635.134,2437
50,0.3,0.2,196,2635.134,2437
50,0.3,0.3,196,2635.134,2437
50,0.3,0.4,196,2635.134,2437
50,0.3,0.5,196,2635.134,2437
50,0.3,0.6,196,2635.134,2437
50,0.3,0.7,196,2635.134,2437
50,0.3,0.8,196,2635.134,2437
50,0.3,0.9,196,2635.134,2437
50,0.3,1,196,2635.134,2437
50,0.4,0.1,196,2635.134,2537
50,0.4,0.2,196,2635.134,2537
50,0.4,0.3,196,2635.134,2537
50,0.4,0.4,196,2635.134,2537
50,0.4,0.5,196,2635.134,2537
50,0.4,0.6,196,2635.134,2537
50,0.4,0.7,196,2635.134,2537
50,0.4,0.8,196,2635.134,2537
50,0.4,0.9,196,2635.134,2537
50,0.4,1,196,2635.134,2537
50,0.5,0.1,196,2635.134,2637
50,0.5,0.2,196,2635.134,2637
50,0.5,0.3,196,2635.134,2637
50,0.5,0.4,196,2635.134,2637
50,0.5,0.5,196,2635.134,2637
50,0.5,0.6,196,2635.134,2637
50,0.5,0.7,196,2635.134,2637
50,0.5,0.8,196,2635.134,2637
50,0.5,0.9,196,2635.134,2637
50,0.5,1,196,2635.134,2637
50,0.6,0.1,196,2635.134,2737
50,0.6,0.2,196,2635.134,2737
50,0.6,0.3,196,2635.134,2737
50,0.6,0.4,196,2635.134,2737
50,0.6,0.5,196,2635.134,2737
50,0.6,0.6,196,2635.134,2737
50,0.6,0.7,196,2635.134,2737
50,0.6,0.8,196,2635.134,2737
50,0.6,0.9,196,2635.134,2737
50,0.6,1,196,2635.134,2737
50,0.7,0.1,196,2635.134,2837
50,0.7,0.2,196,2635.134,2837
50,0.7,0.3,196,2635.134,2837
50,0.7,0.4,196,2635.134,2837
50,0.7,0.5,196,2635.134,2837
50,0.7,0.6,196,2635.134,2837
50,0.7,0.7,196,2635.134,2837
50,0.7,0.8,196,2635.134,2837
50,0.7,0.9,196,2635.134,2837
50,0.7,1,196,2635.134,2837
50,0.8,0.1,196,2635.134,2937
50,0.8,0.2,196,2635.134,2937
50,0.8,0.3,196,2635.134,2937
50,0.8,0.4,196,2635.134,2937
50,0.8,0.5,196,2635.134,2937
50,0.8,0.6,196,2635.134,2937
50,0.8,0.7,196,2635.134,2937
50,0.8,0.8,196,2635.134,2937
50,0.8,0.9,196,2635.134,2937
50,0.8,1,196,2635.134,2937
50,0.9,0.1,196,2635.134,3037
50,0.9,0.2,196,2635.134,3037
50,0.9,0.3,196,2635.134,3037
50,0.9,0.4,196,2635.134,3037
50,0.9,0.5,196,2635.134,3037
50,0.9,0.6,196,2635.134,3037
50,0.9,0.7,196,2635.134,3037
50,0.9,0.8,196,2635.134,3037
50,0.9,0.9,196,2635.134,3037
50,0.9,1,196,2635.134,3037
50,1,0.1,196,2635.134,3137
50,1,0.2,196,2635.134,3137
50,1,0.3,196,2635.134,3137
50,1,0.4,196,2635.134,3137
50,1,0.5,196,2635.134,3137
50,1,0.6,196,2635.134,3137
50,1,0.7,196,2635.134,3137
50,1,0.8,196,2635.134,3137
50,1,0.9,196,2635.134,3137
50,1,1,196,2635.134,3137
5,0.1,0.1,196,9522.697,2237
5,0.1,0.2,196,9522.697,2237
5,0.1,0.3,196,9522.697,2237
5,0.1,0.4,196,9522.697,2237
5,0.1,0.5,196,9522.697,2237
5,0.1,0.6,196,9522.697,2237
5,0.1,0.7,196,9522.697,2237
5,0.1,0.8,196,9522.697,2237
5,0.1,0.9,196,9522.697,2237
5,0.1,1,196,9522.697,2237
5,0.2,0.1,196,9522.697,2337
5,0.2,0.2,196,9522.697,2337
5,0.2,0.3,196,9522.697,2337
5,0.2,0.4,196,9522.697,2337
5,0.2,0.5,196,9522.697,2337
5,0.2,0.6,196,9522.697,2337
5,0.2,0.7,196,9522.697,2337
5,0.2,0.8,196,9522.697,2337
5,0.2,0.9,196,9522.697,2337
5,0.2,1,196,9522.697,2337
5,0.3,0.1,196,9522.697,2437
5,0.3,0.2,196,9522.697,2437
5,0.3,0.3,196,9522.697,2437
5,0.3,0.4,196,9522.697,2437
5,0.3,0.5,196,9522.697,2437
5,0.3,0.6,196,9522.697,2437
5,0.3,0.7,196,9522.697,2437
5,0.3,0.8,196,9522.697,2437
5,0.3,0.9,196,9522.697,2437
5,0.3,1,196,9522.697,2437
5,0.4,0.1,196,9522.697,2537
5,0.4,0.2,196,9522.697,2537
5,0.4,0.3,196,9522.697,2537
5,0.4,0.4,196,9522.697,2537
5,0.4,0.5,196,9522.697,2537
5,0.4,0.6,196,9522.697,2537
5,0.4,0.7,196,9522.697,2537
5,0.4,0.8,196,9522.697,2537
5,0.4,0.9,196,9522.697,2537
5,0.4,1,196,9522.697,2537
5,0.5,0.1,196,9522.697,2637
5,0.5,0.2,196,9522.697,2637
5,0.5,0.3,196,9522.697,2637
5,0.5,0.4,196,9522.697,2637
5,0.5,0.5,196,9522.697,2637
5,0.5,0.6,196,9522.697,2637
5,0.5,0.7,196,9522.697,2637
5,0.5,0.8,196,9522.697,2637
5,0.5,0.9,196,9522.697,2637
5,0.5,1,196,9522.697,2637
5,0.6,0.1,196,9522.697,2737
5,0.6,0.2,196,9522.697,2737
5,0.6,0.3,196,9522.697,2737
5,0.6,0.4,196,9522.697,2737
5,0.6,0.5,196,9522.697,2737
5,0.6,0.6,196,9522.697,2737
5,0.6,0.7,196,9522.697,2737
5,0.6,0.8,196,9522.697,2737
5,0.6,0.9,196,9522.697,2737
5,0.6,1,196,9522.697,2737
5,0.7,0.1,196,9522.697,2837
5,0.7,0.2,196,9522.697,2837
5,0.7,0.3,196,9522.697,2837
5,0.7,0.4,196,9522.697,2837
5,0.7,0.5,196,9522.697,2837
5,0.7,0.6,196,9522.697,2837
5,0.7,0.7,196,9522.697,2837
5,0.7,0.8,196,9522.697,2837
5,0.7,0.9,196,9522.697,2837
5,0.7,1,196,9522.697,2837
5,0.8,0.1,196,9522.697,2937
5,0.8,0.2,196,9522.697,2937
5,0.8,0.3,196,9522.697,2937
5,0.8,0.4,196,9522.697,2937
5,0.8,0.5,196,9522.697,2937
5,0.8,0.6,196,9522.697,2937
5,0.8,0.7,196,9522.697,2937
5,0.8,0.8,196,9522.697,2937
5,0.8,0.9,196,9522.697,2937
5,0.8,1,196,9522.697,2937
5,0.9,0.1,196,9522.697,3037
5,0.9,0.2,196,9522.697,3037
5,0.9,0.3,196,9522.697,3037
5,0.9,0.4,196,9522.697,3037
5,0.9,0.5,196,9522.697,3037
5,0.9,0.6,196,9522.697,3037
5,0.9,0.7,196,9522.697,3037
5,0.9,0.8,196,9522.697,3037
5,0.9,0.9,196,9522.697,3037
5,0.9,1,196,9522.697,3037
5,1,0.1,196,9522.697,3137
5,1,0.2,196,9522.697,3137
5,1,0.3,196,9522.697,3137
5,1,0.4,196,9522.697,3137
5,1,0.5,196,9522.697,3137
5,1,0.6,196,9522.697,3137
5,1,0.7,196,9522.697,3137
5,1,0.8,196,9522.697,3137
5,1,0.9,196,9522.697,3137
5,1,1,196,9522.697,3137
